
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
258,Ty Montgomery,GNB,22,wr,6,3,,2,,,,,,2,,,,,,,,12,
259,JJ Nelson,ARI,23,wr,11,2,,2,,,,,,2,,,,,,,,12,
260,Troy Niklas,ARI,23,te,16,3,,2,,,,,,2,,,,,,,,12,
261,Josh Norman*+,CAR,28,CB,16,16,,,,,,2,,2,,,,,,,,12,
262,Cordarrelle Patterson,MIN,24,wr,16,1,,,,2,,,,2,,,,,,,,12,
263,Marcus Peters*,KAN,22,DB,16,16,,,,,,2,,2,,,,,,,,12,
264,Chris Polk,HOU,26,rb,15,2,1,1,,,,,,2,,,,,,,,12,
265,Dominique Rodgers-Cromartie*,NYG,29,CB,15,15,,,,,1,1,,2,,,,,,,,12,
266,Bishop Sankey,TEN,23,rb,13,3,1,1,,,,,,2,,,,,,,,12,
267,Mohamed Sanu,CIN,26,wr,16,4,2,,,,,,,2,,,,,,,,12,
268,Cecil Shorts,HOU,28,wr,11,4,,2,,,,,,2,,,,,,,,12,
269,Alex Smith,KAN,31,QB,16,16,2,,,,,,,2,,,,,,,,12,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
270,C.J. Spiller,NOR,28,rb,13,2,,2,,,,,,2,,,,,,,,12,
271,Craig Stevens,TEN,31,TE,16,11,,2,,,,,,2,,,,,,,,12,
272,Jake Stoneburner,MIA,26,te,11,1,,2,,,,,,2,,,,,,,,12,
273,Aqib Talib*,DEN,29,CB,15,15,,,,,,2,,2,,,,,,,,12,
274,De'Anthony Thomas,KAN,22,wr,10,1,1,1,,,,,,2,,,,,,,,12,
275,Chris Thompson,WAS,25,,13,0,,2,,,,,,2,,,,,,,,12,
276,Will Tukuafu,SEA,31,fb,14,1,1,1,,,,,,2,,,,,,,,12,
277,Bobby Wagner*,SEA,25,LB,15,15,,,,,2,,,2,,,,,,,,12,
278,Mike Wallace,MIN,29,WR,16,12,,2,,,,,,2,,,,,,,,12,
279,Nick Williams,ATL,25,,14,0,,2,,,,,,2,,,,,,,,12,
280,Albert Wilson,KAN,23,WR,14,12,,2,,,,,,2,,,,,,,,12,
281,Tim Wright,DET,25,te,9,1,,2,,,,,,2,,,,,,,,12,
282,Davante Adams,GNB,23,WR,13,12,,1,,,,,,1,1,,,,,,,8,
