
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
140,Chris Owusu,NYJ,25,wr,3,2,,,,,,2,58,0,30,29.0,138
141,Tyler Patmon,2TM,24,,13,2,,,,,,2,26,0,20,13.0,26
142,John Phillips,SDG,28,te,16,5,,,,,,2,18,0,13,9.0,87
143,Marcel Reece,OAK,30,fb,15,7,,,,,,2,32,0,18,16.0,337
144,Chase Reynolds,STL,28,rb,13,1,,,,,,2,9,0,9,4.5,9
145,Seth Roberts,OAK,24,wr,16,5,,,,,,2,47,0,24,23.5,527
146,Denard Robinson,JAX,25,rb,13,3,,,,,,2,54,0,31,27.0,484
147,Khiry Robinson,NOR,26,,8,0,,,,,,2,33,0,19,16.5,328
148,Anthony Sherman,KAN,27,rb,16,2,,,,,,2,20,0,11,10.0,54
149,Steve Smith,BAL,36,wr,7,7,2,32,0,22,16.0,,,,,,702
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
150,Lardarius Webb,BAL,30,CB,15,14,2,16,0,9,8.0,,,,,,16
151,Wes Welker,STL,34,,8,0,2,23,0,13,11.5,,,,,,125
152,Jay Ajayi,MIA,22,,9,0,,,,,,1,20,0,20,20.0,297
153,Seyi Ajirotutu,PHI,28,,13,0,,,,,,1,0,0,0,0.0,4
154,Colt Anderson,IND,30,s,14,1,,,,,,1,5,0,5,5.0,4
155,Antonio Andrews,TEN,24,RB,14,10,,,,,,1,13,0,13,13.0,707
156,Stedman Bailey,STL,25,wr,8,3,,,,,,1,28,0,28,28.0,210
157,Daren Bates,STL,25,,15,0,1,0,0,0,0.0,,,,,,0
158,Joique Bell,DET,29,rb,13,5,,,,,,1,11,0,11,11.0,608
159,Giovani Bernard,CIN,24,rb,16,1,,,,,,1,6,0,6,6.0,1208
160,Kapri Bibbs,DEN,22,,1,0,,,,,,1,15,0,15,15.0,15
161,Robert Blanton,MIN,26,s,16,1,,,,,,1,27,0,27,27.0,27
162,Nick Boyle,BAL,22,te,11,2,,,,,,1,10,0,10,10.0,163
163,Tyvon Branch,KAN,29,db,16,1,,,,,,1,2,0,2,2.0,75
164,Jairus Byrd,NOR,29,S,13,12,1,1,0,1,1.0,,,,,,2
165,Bryce Callahan,CHI,24,cb,9,3,1,34,0,34,34.0,,,,,,34
166,Chris Conley,KAN,23,wr,16,5,,,,,,1,14,0,14,14.0,213
167,Cody Davis,STL,26,,16,0,1,4,0,4,4.0,,,,,,24
168,Thomas Davis*+,CAR,32,LB,16,16,,,,,,1,3,0,3,3.0,3
169,Tyeler Davison,NOR,23,dt,16,5,,,,,,1,10,0,10,10.0,10
170,Eric Decker,NYJ,28,WR,15,13,1,11,0,11,11.0,,,,,,1038
171,Stefon Diggs,MIN,22,wr,13,9,,,,,,1,22,0,22,22.0,755
172,Patrick DiMarco*,ATL,26,fb,16,8,,,,,,1,19,0,19,19.0,129
173,Ben Edwards,NYG,23,,2,0,,,,,,1,20,0,20,20.0,29
174,Kyle Emanuel,SDG,24,lb,15,3,,,,,,1,1,0,1,1.0,1
175,Zach Ertz,PHI,25,te,15,6,,,,,,1,9,0,9,9.0,862
176,Jerome Felton,BUF,29,fb,16,8,,,,,,1,5,0,5,5.0,19
177,Corey Fuller,DET,25,,12,0,1,0,0,0,0.0,,,,,,76
178,Rob Gronkowski*+,NWE,26,TE,15,15,,,,,,1,5,0,5,5.0,1181
179,Mark Herzlich,NYG,28,lb,16,4,,,,,,1,6,0,6,6.0,6
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
